DrugID,Smiles,Description,Targets,Targets_DrugBank,Smile
DB09291,C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)CN1)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,"Rolapitant is a potent, highly selective, long-acting Neurokinin-1 (NK-1) receptor antagonist approved for the prevention of delayed chemotherapy-induced nausea and vomiting (CINV) in adults. Delayed-phase CINV typically occurs >24 hours after chemotherapy treatment and is principally mediated by Neurokinin-1 and its ligand Substance P, which is released in the gut following chemotherapy administration. Neurokinin-1 is also known as Tachykinin Receptor 1 (TACR1), Neurokinin 1 Receptor (NK1R), and Substance P Receptor (SPR). By blocking Substance P from interacting with NK-1 receptors in the gut and the central nervous system, rolapitant prevents late-phase CINV. Unlike other available NK-1 receptor antagonists, rolapitant is not an inhibitor of Cytochrome P450 enzyme CYP3A4 and has a long elimination half-life, allowing a single dose to prevent both acute and late-phase CINV during the first 120 hours post-chemotherapy.",P25103,BE0000384,2|16|24|27|52|84|96|113|114|170|178|202|206|224|236|262|282|283|298|395|418|421|424|425|435|447|452|454|463|465|472|482|501|541|544|564|569|619|679|687|708|712|716|717|728|737|753|775|786|792|846|855|859
DB09320,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1.[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1)C(O)=O,"Procaine benzylpenicillin (INN), also known as procaine G penicillin, is an injectable antiobiotic. It is a poorly soluble salt form of penicillin which is a combination of naturally occuring benzylpenicillin (penicillin G) and the local anaesthetic agent procaine in equimolar amounts. Procaine benzylpenicillin is administered by deep intramuscular injection. It is slowly absorbed and hydrolyzed to benzylpenicillin. This drug is used where prolonged exposure to benzylpenicillin at a low concentration is required. This combination is aimed at reducing the pain and discomfort associated with a large intramuscular injection of penicillin. It is widely used in veterinary settings. Benzylpenicillin is active against a wide range of organisms and is the drug of first choice for many infections.",not_have,not_have,45|69|78|90|109|113|114|138|144|146|155|156|158|187|197|202|205|239|258|269|298|357|378|388|395|424|456|463|478|482|489|490|498|499|507|527|536|545|550|564|567|569|623|631|632|659|679|716|717|718|726|753|775|784|790|806|810|816|838|847|858|859|862
DB01605,[H]C(=N[C@@H]1C(=O)N2[C@@H](C(=O)OCOC(=O)C(C)(C)C)C(C)(C)S[C@]12[H])N1CCCCCC1,"Pivmecillinam is a mecillinam prodrug, a pivaloyloxymethyl ester of amdinocillin that is well absorbed orally, but broken down to amdinocillin in the intestinal mucosa. It is active against gram-negative organisms and used as for amdinocillin. [PubChem]",Q8XJ01,BE0000576,40|45|69|73|83|109|113|136|155|187|189|202|208|227|258|268|273|280|298|335|344|410|424|438|482|489|490|496|498|504|569|591|596|607|611|623|632|639|695|716|717|737|762|775|781|810|816|818|838|855|857|859
DB00195,CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,A cardioselective beta-1-adrenergic antagonist with no partial agonist activity.,P08588|P07550,BE0000172|BE0000694,21|26|56|100|114|149|170|229|241|287|298|326|356|378|409|424|456|477|478|485|502|505|544|554|565|585|588|602|621|623|679|716|722|730|737|745|775|808|810|824|868|871|879
DB00957,[H][C@@]12CC[C@@](OC(C)=O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CC\C(C=C3CC[C@@]21[H])=N/O,"Norgestimate was first described in the literature in 1977.[A191068] It was developed by Ortho Pharmaceutical Corporation as part of an effort to develop new hormonal contraceptives with reduced adverse effects.[A191068] It is commonly formulated with [ethinylestradiol] as a combined oral contraceptive that can also be used to treat moderate acne vulgaris.[L11845,L11848] Norgestimate was granted FDA approval on 29 December 1989.[L11842]",P06401|P03372|P10275,BE0000557|BE0000123|BE0000132,33|36|40|45|70|100|103|114|143|160|163|172|178|182|235|256|259|280|298|323|366|387|398|409|415|424|425|435|449|456|465|492|533|542|545|575|604|648|658|684|705|716|717|722|723|737|772|775|777|779|792|805|809|810|816|859
DB00091,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,"Cyclosporine is a calcineurin inhibitor known for its immunomodulatory properties that prevent organ transplant rejection and treat various inflammatory and autoimmune conditions. It is isolated from the fungus _Beauveria nivea_.[A174049] Initially manufactured by Sandoz and approved for use by the FDA in 1983, cyclosporine is now available in various products by Novartis (previously known as Sandoz).[L11097,L3734,L11118]",P49069|Q96LZ3|P62937|P30405,BE0000379|BE0002143|BE0001014|BE0001399,4|18|22|33|54|56|57|64|69|87|97|101|106|109|113|149|163|170|174|175|180|188|215|236|239|267|286|304|314|363|375|376|380|399|408|412|424|456|475|478|487|504|530|538|540|544|545|546|563|572|594|634|652|660|683|704|707|711|716|717|733|737|760|767|775|809|810|816|820|827|831|857
DB00294,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC(=C)[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],Etonogestrel molecule is a 3-ketodesogestrel or 19-nortestosterone which is a synthetic biologically active metabolite of progestin desogestrel.[A37184] The first product including etonogestrel was developed by the Merck subsidiary Organon and FDA approved in 2001.[L5692],P06401,BE0000557,36|100|103|105|113|114|146|148|163|172|178|182|220|243|256|259|283|300|311|343|366|375|409|415|424|435|437|456|465|533|545|594|596|604|648|658|667|673|716|717|737|742|772|775|777|779|792|809|810|848|859
DB06697,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4,"Artemether is an antimalarial agent used to treat acute uncomplicated malaria. It is administered in combination with lumefantrine for improved efficacy. This combination therapy exerts its effects against the erythrocytic stages of <i>Plasmodium spp.</i> and may be used to treat infections caused by <i>P. falciparum</i> and unidentified <i>Plasmodium</i> species, including infections acquired in chloroquine-resistant areas.",not_have,not_have,19|77|96|100|107|121|124|178|195|246|271|293|298|349|366|370|371|391|403|409|416|509|514|527|533|546|552|563|623|630|670|707|711|737|775|797|810|813|859
DB09039,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)C1=CC=C2OCCOC2=C1,"Eliglustat is a glucosylceramide synthase inhibitor used for the long-term treatment of type 1 Gaucher disease.[A3752,L41404] Gaucher disease is a rare genetic disorder characterized by the deficiency of acid ¦Â-glucosidase, an enzyme that converts glucosylceramide into glucose and ceramide. In patients with Gaucher disease, the accumulation of glucosylceramide leads to the formation of Gaucher cells that infiltrate the liver, spleen, bone marrow and other organs. This leads to complications such as anemia and thrombocytopenia.[L41404,A246384] By inhibiting glucosylceramide synthase, eliglustat reduces the accumulation of glucosylceramide.[L41404] Eliglustat is mainly metabolized by CYP2D6.[L41404] Patients selected for eliglustat treatment undergo an FDA-cleared genotyping test to establish if they are CYP2D6 extensive metabolizers (EMs), intermediate metabolizers (IMs), or poor metabolizers (PMs). The results of this test dictate eliglustat dosing recommendations for each type of patient. There are no dosing recommendations for CYP2D6 ultra-rapid or indeterminate metabolizers.[L41404,A7634] Eliglustat was approved by the FDA in August 2014 as an oral substrate reduction therapy for the first-line treatment of type 1 Gaucher disease.[L41404,A7634] Enzyme replacement continues to be the standard of care for the treatment of type 1 Gaucher disease ([imiglucerase], [velaglucerase alfa], [taliglucerase alfa]); however, oral substrate reduction therapies with favourable safety profiles, such as eliglustat, represent a treatment alternative.[A246389,A7634]",Q16739,BE0000477,18|32|36|45|48|56|73|87|109|114|170|189|203|223|295|307|328|335|410|424|430|432|456|467|475|478|499|531|535|545|563|586|605|611|616|666|679|681|690|698|708|714|716|717|737|775|788|804|816|835|839|846|862
DB00349,CN1C2=C(C=C(Cl)C=C2)N(C2=CC=CC=C2)C(=O)CC1=O,"Clobazam belongs to the 1,5-benzodiazepine class of drugs and is marketed under different names, Onfi, Frisium, Urbanyl, and others.[A256868]. Clobazam was first synthesized in 1966 and first published in 1969, following the incidental synthesis and discovery of the first benzodiazepine chlordiazepoxide in the 1950s.[A256913] Unlike older 1,4-benzodiazepines, clobazam has a better side-effects profile, particularly less sedative and amnesic effects.[A256963,A256868] This is likely because of clobazam's higher affinity to the ¦Á<sub>2</sub> subunit of the GABA<sub>A</sub> receptor, which mediates anxiolytic effects, than the ¦Á<sub>1</sub> subunit, which mediates sedative effect.[A256868] Additionally, clobazam is believed to be a partial agonist to the GABA<sub>A</sub> receptor rather than non-selective full receptor agonists like 1,4-benzodiazepines, thus potentially explaining the decreased incidence of sedative effects.[A256968,A256973] Clobazam has been marketed as an anxiolytic since 1975 and an anticonvulsant since 1984.[A521,A522] In October 21, 2011, the FDA approved clobazam as an adjunctive treatment for seizures associated with Lennox-Gastaut syndrome in adults and children aged two years and older.[A256958] In 2005, clobazam also received approval from Health Canada as an add-on therapy for generalized tonic-clonic, myoclonic, and focal impaired awareness seizures.[A256978]",P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928,BE0004797|BE0008668,21|109|113|114|141|270|273|286|299|303|347|395|424|438|439|442|448|472|478|482|485|502|528|564|679|717|731|737|775|798|846|858|862
DB00736,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,"Esomeprazole, sold under the brand name Nexium, is a proton pump inhibitor (PPI) medication used for the management of gastroesophageal reflux disease (GERD), for gastric protection to prevent recurrence of stomach ulcers or gastric damage from chronic use of NSAIDs, and for the treatment of pathological hypersecretory conditions including Zollinger-Ellison (ZE) Syndrome. It can also be found in quadruple regimens for the treatment of _H. pylori_ infections along with other antibiotics including [DB01060], [DB01211], and [DB00916], for example.[A177271, F4498] Its efficacy is considered similar to other medications within the PPI class including [DB00338], [DB00213], [DB00448], [DB05351], and [DB01129]. Esomeprazole is the s-isomer of [DB00338], which is a racemate of the S- and R-enantiomer. Esomeprazole has been shown to inhibit acid secretion to a similar extent as [DB00338], without any significant differences between the two compounds _in vitro_. Esomeprazole exerts its stomach acid-suppressing effects by preventing the final step in gastric acid production by covalently binding to sulfhydryl groups of cysteines found on the (H+, K+)-ATPase enzyme at the secretory surface of gastric parietal cells. This effect leads to inhibition of both basal and stimulated gastric acid secretion, irrespective of the stimulus. As the binding of esomeprazole to the (H+, K+)-ATPase enzyme is irreversible and new enzyme needs to be expressed in order to resume acid secretion, esomeprazole's duration of antisecretory effect persists longer than 24 hours.[FDA Label] PPIs such as esomeprazole have also been shown to inhibit the activity of dimethylarginine dimethylaminohydrolase (DDAH), an enzyme necessary for cardiovascular health. DDAH inhibition causes a consequent accumulation of the nitric oxide synthase inhibitor asymmetric dimethylarginie (ADMA), which is thought to cause the association of PPIs with increased risk of cardiovascular events in patients with unstable coronary syndromes.[A177577, A177580] Due to their good safety profile and as several PPIs are available over the counter without a prescription, their current use in North America is widespread. Long term use of PPIs such as esomeprazole has been associated with possible adverse effects, however, including increased susceptibility to bacterial infections (including gastrointestinal _C. difficile_), reduced absorption of micronutrients such as iron and B12, and an increased risk of developing hypomagnesemia and hypocalcemia which may contribute to osteoporosis and bone fractures later in life.[A177571] Rapid discontinuation of PPIs such as esomeprazole may cause a rebound effect and a short term increase in hypersecretion.[A177574] Esomeprazole doses should be slowly lowered, or tapered, before discontinuing to prevent this rebound effect.",P20648|O94760,BE0000349|BE0000766,8|47|59|69|80|81|108|114|206|221|236|239|244|298|315|316|324|330|358|376|385|395|424|427|494|517|549|581|621|635|672|679|685|694|707|710|713|716|717|775|791|799|808|820|846|856|879
DB00763,CN1C=CNC1=S,"Methimazole is a thionamide antithyroid agent that inhibits the synthesis of thyroid hormones.[A184559,A184733,A184694] It was first introduced as an antithyroid agent in 1949[A184502] and is now commonly used in the management of hyperthyroidism, particularly in those for whom more aggressive options such as surgery or radioactive iodine therapy are inappropriate.[L8336,L8339] On a weight basis, methimazole is 10 times more potent than the other major antithyroid thionamide used in North America, [propylthiouracil],[L8339] and is the active metabolite of the pro-drug [carbimazole], which is an antithyroid medication used in the United Kingdom and parts of the former British Commonwealth.[A184733] Traditionally, methimazole has been preferentially used over propylthiouracil due to the risk of fulminant hepatotoxicity carried by the latter,[A184757] with propylthiouracil being preferred in pregnancy due to a perceived lower risk of teratogenic effects. Despite documented teratogenic effects in its published labels,[L8336,L8339] the true teratogenicity of methimazole appears to be unclear[A184643,A184757,A184763] and its place in therapy may change in the future.",P07202,BE0000507,19|35|97|109|114|151|201|236|337|389|424|478|486|613|741|768|775
DB00622,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,A potent calcium channel blockader with marked vasodilator action. It has antihypertensive properties and is effective in the treatment of angina and coronary spasms without showing cardiodepressant effects. It has also been used in the treatment of asthma and enhances the action of specific antineoplastic agents. [PubChem],Q13936|Q08289|P54289|Q01668|P54750|Q01064|P35348|P35368|P25100|P11229|P08172|P20309|P08173|P08912|P0DP23|Q06432|Q9Y698|O60359|Q9UBN1|Q9UF02|Q9BXT2|P62955|Q8WXS5|P54289|Q9NY47|Q8IZS8|Q7Z3S7|Q13936|Q01668|O60840|Q13698|Q02641|Q08289|P54284|O00305|Q00975|O00555|Q15878|O43497|O95180|Q9P0X4|O43497|O95180|Q9P0X4,BE0000430|BE0002354|BE0000691|BE0002359|BE0003565|BE0003323|BE0000501|BE0000575|BE0000715|BE0000092|BE0000560|BE0000045|BE0000405|BE0000247|BE0000418|BE0004902|BE0000483|BE0000864|BE0000012,4|7|29|45|47|78|83|87|101|114|138|146|177|189|212|236|252|271|292|298|313|378|388|395|412|424|452|474|478|481|482|490|539|564|614|623|631|639|668|679|682|694|696|704|707|716|717|753|775|782|783|790|810|816|820|834|838|846
DB01104,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=CC=CC=C12,"Sertraline is a popular antidepressant medication commonly known as a selective serotonin reuptake inhibitor (SSRI), and is similar to drugs such as [Citalopram] and [Fluoxetine]. Despite marked structural differences between compounds in this drug class, SSRIs exert similar pharmacological effects. Several weeks of therapy with sertraline may be required before beneficial effects are noticed. Sertraline displays enhanced safety or tolerability than other classes of antidepressants, which frequently cause high levels of drowsiness, dizziness, blurred vision, and other undesirable effects.[A1846,A187075,T28]",P31645|Q01959|O00264|Q99720|P23975|Q7RTT9,BE0000749|BE0000647|BE0004897|BE0000486|BE0004775,34|53|83|95|114|133|201|206|246|268|303|309|401|405|409|424|478|482|485|486|564|573|580|679|737|751|754|760|775|810|838|846|863
DB01110,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,"Miconazole is a broad-spectrum azole antifungal with some activity against Gram-positive bacteria as well.[A203636] It is widely used to treat mucosal yeast infections, including both oral and vaginal infections; although intravenous miconazole is no longer available, a wide variety of suppositories, creams, gels, and tablet-based products are available.[L14021, L14024, L14027, L14033, L14396] Miconazole is thought to act primarily through the inhibition of fungal CYP450 14¦Á-lanosterol demethylase activity.[A203636, A203639] Miconazole was first synthesized in 1969 and first granted FDA approval on January 8, 1974, for sale by INSIGHT Pharmaceuticals as a topical cream.[A214523, L14021] It is currently available as a variety of prescription and over the counter products. Despite having been in clinical use for an extended period, resistance to miconazole among susceptible organisms is relatively low.[A203636]",P10613|P29474|P35228|O75469|Q12791|Q16558|Q9Y691|Q9NPA1|Q86W47|O15554|Q92952|Q9H2S1|Q9UGI6|Q09470|Q16322|P16389|P22001|P22459|P22460|P17658|Q14721|Q92953|P48547|Q96PR1|Q14003|Q03721|Q9NSA2|Q9NZV8|Q9UK17|P15382|Q9Y6J6|Q9Y6H6|Q8WWG9|Q9UJ90|Q9H3M0|Q9UIX4|Q9UJ96|Q8TAE7|Q8TDN1|O95259|Q12809|Q9ULD8|Q9UQ05|Q8NCM2|Q9H252|Q9NS40|Q96L42|P51787|O43526|O43525|P56696|Q9NR82|Q96KK3|Q9BQ31|Q6PIU1|Q8TDN2|Q14722|Q13303|Q14500|Q9UNX9|P63252|P48050|Q13936|Q01668|O60840|Q13698|Q02641|Q08289|P54284|O00305,BE0000233|BE0000263|BE0000005|BE0000956|BE0004906|BE0009847|BE0009631|BE0009739,34|48|109|114|128|130|151|153|170|223|233|258|286|290|292|294|298|299|303|352|355|358|421|424|485|502|509|525|535|585|623|672|679|713|716|769|788|846|862
DB00273,[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2,"Topiramate is a anti-epileptic drug used to manage seizures and prevent migraines.[A175249] It was initially approved by the FDA in 1996. In 2004, topiramate was approved for the prevention of migraine in adults.[A188309,L10544,L43478] Since 2012, the extended-release formulation has been approved in combination with [phentermine] for chronic weight management therapy in adults.[L10550] Characteristics that distinguish topiramate from other antiepileptic drugs are a monosaccharide chemical structure containing a sulfamate, and 40% of its mass accounted for by oxygen.[A175249] Interestingly, topiramate was discovered by chance when attempts were made to formulate a novel antidiabetic drug.[A188330]",P14867|P35498|Q9Y5Y9|Q9UI33|Q99250|Q9NY46|P35499|Q14524|Q01118|Q9UQD0|Q15858|P39086|Q13002|Q13003|Q16099|Q16478|P00918|P22748|Q13936|Q01668|O60840|Q13698|Q02641|Q08289|P54284|O00305|P00915|P07451|Q15878,BE0000795|BE0009738|BE0009793|BE0000322|BE0000535|BE0009739|BE0000267|BE0003625|BE0008718,61|80|121|143|204|236|282|297|298|314|331|336|354|393|492|513|563|566|588|611|613|619|623|638|670|678|716|717|725|737|775|784|795|801|806|810|828|859|860
DB09119,CC(=O)O[C@H]1CC2=CC=CC=C2N(C(N)=O)C2=CC=CC=C12,"Eslicarbazepine acetate (ESL) is an anticonvulsant medication approved for use in Europe, the United States and Canada as an adjunctive therapy for partial-onset seizures that are not adequately controlled with conventional therapy. Eslicarbazepine acetate is a prodrug that is rapidly converted to eslicarbazepine, the primary active metabolite in the body. Eslicarbazepine's mechanism of action is not well understood, but it is known that it does exert anticonvulsant activity by inhibiting repeated neuronal firing and stabilizing the inactivated state of voltage-gated sodium channels, thus preventing their return to the activated state during which seizure activity can occur. Eslicarbazepine acetate is marketed as Aptiom in North America and Zebinix or Exalief in Europe. It is available in 200, 400, 600, or 800mg tablets that are taken once daily, with or without food. Eslicarbazepine acetate is associated with numerous side effects including dizziness, drowsiness, nausea, vomiting, diarrhea, headache, aphasia, lack of concentration, psychomotor retardation, speech disturbances, ataxia, depression and hyponatremia. It is recommended that patients taking eslicarbazepine acetate be monitored for suicidality.",Q99571,BE0005793,45|108|109|111|114|175|222|227|241|293|298|307|366|405|417|424|448|482|520|547|563|564|643|679|701|717|726|737|775|776|805|806|810|816|819|852|863|877
DB08899,CNC(=O)C1=C(F)C=C(C=C1)N1C(=S)N(C(=O)C1(C)C)C1=CC=C(C#N)C(=C1)C(F)(F)F,"Enzalutamide is an androgen receptor (AR) inhibitor for the treatment of castration-resistant prostate cancer (CRPC), both metastatic and non-metastatic.[L40639] It is a second-generation antiandrogen agent that the FDA approved on August 31, 2012.[L40639, A252667] Although androgen deprivation therapy (ADT) is the first-line treatment of prostate cancer and remission can be achieved, arising resistance is inevitable, becoming castration-resistant prostate cancer.[A252667] Until recently, docetaxel is the only treatment available for metastatic CRPC; however, AR inhibitors have been developed for more targeted therapy, although first-generation AR inhibitors like bicalutamide did not substantially increase the survival rate.[A252667] Second-generation such as enzalutamide is more efficacious due to a higher affinity to AR and no partial agonist activity compared to bicalutamide.[A252667,A252642] Due to a favorable pharmacological profile, a phase 1 study of enzalutamide was initiated in July 2007. Compared to the average time of 10 to 15 years for a drug to go from pre-clinical to clinical studies, enzalutamide was developed relatively rapidly.[A252667]",P10275,BE0000132,31|44|45|56|84|86|89|97|109|110|113|114|133|151|193|203|245|251|259|270|308|313|337|347|356|393|405|406|408|418|424|435|466|478|490|492|517|520|557|580|613|623|656|679|717|753|775|788|816|817|846|855|858|859|878
DB06413,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,"Armodafinil is the enantiopure of the wakefulness-promoting agent modafinil (Provigil), and is indicated to improve wakefulness in adult patients with excessive sleepiness associated with obstructive sleep apnea (OSA), narcolepsy, or shift work disorder (SWD). Research has shown that armodafinil significantly improves driving simulator performance in patients with SWD. Armodafinil consists of the (?)-R-enantiomer of the racemic modafinil. Armodafinil is produced by the pharmaceutical company Cephalon Inc. (a wholly owned subsidiary of Teva Pharmaceutical Industries Ltd.) and was approved by the U.S. Food and Drug Administration (FDA) in June 2007.",Q01959,BE0000647,8|45|73|114|139|148|170|368|395|417|424|482|526|541|564|565|621|679|708|716|717|806|808|816|848|872
DB00863,CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O,"Ranitidine is a commonly used drug, classified as a histamine H2-receptor antagonist, and belongs to the same drug class as [cimetidine] and [famotidine]. This drug helps to prevent and treat gastric-acid associated conditions, including ulcers, because of its ability to decrease gastric acid secretion.[A176759,L10818] Ranitidine is often referred to as Zantac, and is available in various forms, including tablet, injection, and effervescent tablet preparations.[L10818,F4253] The prevalence of GERD is thought to be 10-20% in western countries.[A176843] Ranitidine has proven to be an effective treatment for relieving uncomfortable symptoms of gastric acid associated conditions and is therefore widely used in GERD and other gastric-acid related conditions.[A176849,L10818]",P25021|P22303,BE0000112|BE0000426,45|53|61|71|87|98|114|174|193|245|247|348|356|387|424|425|437|449|478|481|485|504|510|539|540|550|563|564|574|580|584|668|671|679|701|704|716|717|738|753|775|782|797|830|857|868
DB05812,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,"Abiraterone is a potent, irreversible, and selective inhibitor of 17 ¦Áhydroxylase/C17,20-lyase (CYP17), an enzyme expressed in testicular, adrenal, and prostatic tumour tissues, to regulate androgen biosynthesis.[A3811, A260880, L40968] Abiraterone was first approved by the FDA and EMA on April,[A260880] July,[L47745] and September 2011,[A260880] respectively. It is used to treat metastatic castration-resistant prostate cancer and hormone-sensitive high-risk metastatic prostate cancer.[L40968, L40193, L47740, L47745] As abiraterone has poor oral bioavailability and is susceptible to hydrolysis by esterases, abiraterone acetate was developed as an orally bioavailable prodrug with enhanced stability and absorption.[A3811, A260835]",P05093,BE0000344,25|31|69|100|107|114|119|163|171|176|178|185|233|257|267|294|297|330|400|409|424|456|533|548|553|563|564|586|615|620|623|658|672|679|701|735|737|769|774|775|779|785|801|810|845|859|870|878
DB00608,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,"Chloroquine is an aminoquinolone derivative first developed in the 1940s for the treatment of malaria.[A191655] It was the drug of choice to treat malaria until the development of newer antimalarials such as [pyrimethamine], [artemisinin], and [mefloquine].[A191787] Chloroquine and its derivative [hydroxychloroquine] have since been repurposed for the treatment of a number of other conditions including HIV, systemic lupus erythematosus, and rheumatoid arthritis.[A192432] **The FDA emergency use authorization for [hydroxychloroquine] and chloroquine in the treatment of COVID-19 was revoked on 15 June 2020.[L14312]** Chloroquine was granted FDA Approval on 31 October 1949.[L12054]",P09210|P01375|Q9NR96|Q8ILQ7|P09429|P09488|Q9BYF1,BE0002189|BE0000704|BE0001171|BE0002659|BE0003428|BE0000807|BE0000982,18|19|25|106|114|138|170|172|269|285|286|303|309|312|354|366|424|463|478|485|502|544|545|546|560|581|605|607|631|634|643|660|672|679|685|715|716|753|769|775|784|786|846|862
DB09324,[H][C@@]12CC(=O)N1[C@@]([H])(C(O)=O)C(C)(C)S2(=O)=O,"Sulbactam is a ¦Â-lactamase inhibitor given in combination with ¦Â-lactam antibiotics to inhibit ¦Â-lactamase, an enzyme produced by bacteria that destroys antibiotic activity.",P00807,BE0000302,45|109|113|119|156|162|165|202|258|286|300|390|395|424|456|476|550|623|667|701|709|717|726|737|775|777|810|816|856|859|876
DB01129,COCCCOC1=C(C)C(CS(=O)C2=NC3=CC=CC=C3N2)=NC=C1,"Rabeprazole is an antiulcer drug in the class of proton pump inhibitors. It is a prodrug - in the acid environment of the parietal cells it turns into active sulphenamide form. Rabeprazole inhibits the H+, K+ATPase of the coating gastric cells and dose-dependent oppresses basal and stimulated gastric acid secretion.",P20648,BE0000349,8|18|25|47|81|114|168|206|221|236|298|315|324|326|371|385|420|424|427|428|459|482|493|494|518|521|526|529|549|564|566|581|603|621|623|625|672|679|685|694|707|716|717|769|775|791|799|808|820|829|856
DB00932,[H][C@@](CC)(C1=CC(NS(=O)(=O)C2=NC=C(C=C2)C(F)(F)F)=CC=C1)C1=C(O)C[C@@](CCC)(CCC2=CC=CC=C2)OC1=O,Tipranavir is a sulfonamide-containing dyhydropyrone and a nonpeptidic protease inhibitor that targets the HIV protease. Tipranavir and ritonavir are coadministered to treat HIV.,Q72874,BE0004854,3|16|76|78|80|84|86|93|113|114|119|120|123|125|136|145|149|152|170|183|192|197|201|224|251|276|316|321|330|378|395|410|412|418|424|435|456|478|482|485|545|563|564|588|591|602|652|662|672|677|679|685|708|715|716|717|732|737|743|753|775|777|796|817|828|837|845|846|848|855|859
DB00948,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(C1=O)S(C)(=O)=O)C1=CC=CC=C1)C(O)=O,"Semisynthetic ampicillin-derived acylureido penicillin. It has been proposed for infections with certain anaerobes and may be useful in inner ear, bile, and CNS infections.",Q8XJ01|Q75Y35|P0AD65,BE0000576|BE0004643|BE0003579,45|49|69|73|80|109|113|114|155|156|157|158|167|170|187|202|209|213|237|258|309|357|388|395|424|456|478|482|489|490|498|507|514|535|539|550|564|569|588|623|632|642|649|659|663|679|685|708|717|726|737|750|753|775|791|810|816|822|847|848|859
